filepath,filename,face_shape,split
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t50.jpg,ovale t50.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t87.jpg,ovale t87.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t103.jpg,ovale t103.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t39.jpg,ovale t39.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t15.jpg,ovale t15.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t34.jpg,ovale t34.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t10.jpg,ovale t10.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t93.jpg,ovale t93.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t99.jpg,ovale t99.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t30.jpg,ovale t30.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t69.jpg,ovale t69.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t38.jpg,ovale t38.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t23.jpg,ovale t23.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t110.jpg,ovale t110.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t22.jpg,ovale t22.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t97.jpg,ovale t97.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t61.jpg,ovale t61.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t57.jpg,ovale t57.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t45.jpg,ovale t45.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t112.jpg,ovale t112.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t48.jpg,ovale t48.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t11.jpg,ovale t11.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t106.jpg,ovale t106.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t100.jpg,ovale t100.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t6.jpg,ovale t6.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t104.jpg,ovale t104.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t14.jpg,ovale t14.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t80.jpg,ovale t80.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t75.jpg,ovale t75.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t76.jpg,ovale t76.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t21.jpg,ovale t21.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t117.jpg,ovale t117.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t84.jpg,ovale t84.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t49.jpg,ovale t49.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t64.jpg,ovale t64.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t32.jpg,ovale t32.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t77.jpg,ovale t77.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t118.jpg,ovale t118.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t130.jpg,ovale t130.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t101.jpg,ovale t101.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t113.jpg,ovale t113.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t74.jpg,ovale t74.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t73.jpg,ovale t73.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t17.jpg,ovale t17.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t72.jpg,ovale t72.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/ovale/ovale t27.jpg,ovale t27.jpg,ovale,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/28.jpg,28.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/67.jpg,67.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/square t91.jpg,square t91.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/74.jpg,74.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/61.jpg,61.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/32.jpg,32.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/70.jpg,70.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/104.jpg,104.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/29.jpg,29.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/40.jpg,40.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/82.jpg,82.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/56.jpg,56.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/101.jpg,101.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/55.jpg,55.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/58.jpg,58.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/79.jpg,79.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/64.jpg,64.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/50.jpg,50.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/44.jpg,44.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/89.jpg,89.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/43.jpg,43.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/3.jpg,3.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/88.jpg,88.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/63.jpg,63.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/75.jpg,75.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/57.jpg,57.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/18.jpg,18.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/14.jpg,14.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/90.jpg,90.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/68.jpg,68.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/73.jpg,73.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/45.jpg,45.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/103.jpg,103.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/86.jpg,86.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/100.jpg,100.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/71.jpg,71.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/92.jpg,92.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/38.jpg,38.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/52.jpg,52.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/16.jpg,16.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/110.jpg,110.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/42.jpg,42.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/62.jpg,62.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/36.jpg,36.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/98.jpg,98.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/22.jpg,22.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/9.jpg,9.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/72.jpg,72.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/47.jpg,47.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/11.jpg,11.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/7.jpg,7.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/54.jpg,54.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/4.jpg,4.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/93.jpg,93.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/85.jpg,85.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/27.jpg,27.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/10.jpg,10.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/97.jpg,97.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/13.jpg,13.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/19.jpg,19.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/91.jpg,91.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/77.jpg,77.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/94.jpg,94.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/102.jpg,102.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/30.jpg,30.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/99.jpg,99.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/111.jpg,111.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/84.jpg,84.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/59.jpg,59.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/5.jpg,5.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/109.jpg,109.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/87.jpg,87.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/105.jpg,105.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/66.jpg,66.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/23.jpg,23.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/78.jpg,78.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/53.jpg,53.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/26.jpg,26.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/15.jpg,15.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/17.jpg,17.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/34.jpg,34.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/2.jpg,2.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/107.jpg,107.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/81.jpg,81.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/21.jpg,21.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/1.jpg,1.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/35.jpg,35.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/80.jpg,80.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/25.jpg,25.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/6.jpg,6.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/12.jpg,12.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/20.jpg,20.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/96.jpg,96.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/83.jpg,83.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/37.jpg,37.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/31.jpg,31.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/108.jpg,108.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/33.jpg,33.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/60.jpg,60.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/49.jpg,49.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/48.jpg,48.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/69.jpg,69.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/51.jpg,51.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/76.jpg,76.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/39.jpg,39.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/24.jpg,24.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/106.jpg,106.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/8.jpg,8.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/65.jpg,65.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/46.jpg,46.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/rectangular/95.jpg,95.jpg,rectangular,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t41.jpg,square t41.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t11.jpg,square t11.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t97.jpg,square t97.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t79.jpg,square t79.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t31.jpg,square t31.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t95.jpg,square t95.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t86.jpg,square t86.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t70.jpg,square t70.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t39.jpg,square t39.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t35.jpg,square t35.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t73.jpg,square t73.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t50.jpg,square t50.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t93.jpg,square t93.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t19.jpg,square t19.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t43.jpg,square t43.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t72.jpg,square t72.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/round t35.jpg,round t35.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t42.jpg,square t42.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t98.jpg,square t98.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t18.jpg,square t18.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t69.jpg,square t69.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/round t40.jpg,round t40.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t10.jpg,square t10.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t101.jpg,square t101.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t66.jpg,square t66.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t89.jpg,square t89.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t12.jpg,square t12.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t13.jpg,square t13.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t96.jpg,square t96.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t24.jpg,square t24.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t78.jpg,square t78.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t36.jpg,square t36.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t76.jpg,square t76.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t47.jpg,square t47.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t67.jpg,square t67.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/round t33.jpg,round t33.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t17.jpg,square t17.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t83.jpg,square t83.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t14.jpg,square t14.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t27.jpg,square t27.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t15.jpg,square t15.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t22.jpg,square t22.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/round t47.jpg,round t47.jpg,square,test
/content/facefit_data/raw/men_face_shape/men/testing_set/square/square t52.jpg,square t52.jpg,square,test
